documentType	response_error	response_message	created_at	last_uploaded_at	number_of_attempts
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:52	2018-09-02 22:03:27	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:10:51	2018-09-02 22:03:26	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:10:51	2018-09-02 22:03:25	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:10:51	2018-09-02 22:03:24	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:40	2018-09-02 22:03:23	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:39	2018-09-02 22:03:22	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:10:36	2018-09-02 22:03:21	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:38	2018-09-02 22:03:21	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:21	2018-09-02 22:03:20	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:19	2018-09-02 22:03:19	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:18	2018-09-02 22:03:18	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:16	2018-09-02 22:03:17	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:10:15	2018-09-02 22:03:16	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:14	2018-09-02 22:03:15	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:13	2018-09-02 22:03:14	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:12	2018-09-02 22:03:13	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:12	2018-09-02 22:03:12	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:11	2018-09-02 22:03:11	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:04	2018-09-02 22:03:10	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:10:10	2018-09-02 22:03:10	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:03	2018-09-02 22:03:09	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:10:02	2018-09-02 22:03:08	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:10:00	2018-09-02 22:03:07	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:09:43	2018-09-02 22:03:06	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:09:34	2018-09-02 22:03:05	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:09:28	2018-09-02 22:03:04	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:09:24	2018-09-02 22:03:03	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:09:14	2018-09-02 22:03:02	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:08:46	2018-09-02 22:03:01	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:08:44	2018-09-02 22:03:00	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:08:39	2018-09-02 22:02:59	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:08:37	2018-09-02 22:02:58	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:08:36	2018-09-02 22:02:57	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:08:27	2018-09-02 22:02:56	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:08:23	2018-09-02 22:02:55	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:08:25	2018-09-02 22:02:55	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:08:22	2018-09-02 22:02:54	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:08:20	2018-09-02 22:02:53	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:07:46	2018-09-02 22:02:52	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:05:42	2018-09-02 22:02:51	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:05:40	2018-09-02 22:02:50	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:05:39	2018-09-02 22:02:48	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:05:36	2018-09-02 22:02:47	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:05:36	2018-09-02 22:02:46	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:05:35	2018-09-02 22:02:44	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:05:27	2018-09-02 22:02:43	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:05:26	2018-09-02 22:02:42	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:05:25	2018-09-02 22:02:41	1
INVOICE	NULL	NULL	2018-09-02 21:05:18	2018-09-02 22:02:40	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:05:18	2018-09-02 22:02:39	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:05:15	2018-09-02 22:02:38	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:05:14	2018-09-02 22:02:37	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:05:13	2018-09-02 22:02:36	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:04:44	2018-09-02 22:02:35	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:04:43	2018-09-02 22:02:34	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:04:43	2018-09-02 22:02:33	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:04:42	2018-09-02 22:02:32	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:03:59	2018-09-02 22:02:31	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:03:17	2018-09-02 22:02:30	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:03:16	2018-09-02 22:02:29	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:03:14	2018-09-02 22:02:28	1
INVOICE	NULL	NULL	2018-09-02 21:03:12	2018-09-02 22:02:26	1
INVOICE	NULL	NULL	2018-09-02 21:03:10	2018-09-02 22:02:25	1
INVOICE	NULL	NULL	2018-09-02 21:03:10	2018-09-02 22:02:24	1
INVOICE	NULL	NULL	2018-09-02 21:03:09	2018-09-02 22:02:23	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:03:09	2018-09-02 22:02:22	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:03:06	2018-09-02 22:02:21	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:02:56	2018-09-02 22:02:20	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:02:53	2018-09-02 22:02:19	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:02:51	2018-09-02 22:02:18	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:02:44	2018-09-02 22:02:17	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:02:44	2018-09-02 22:02:16	1
DELIVERY PROOF	NULL	NULL	2018-09-02 21:02:40	2018-09-02 22:02:15	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:02:42	2018-09-02 22:02:15	1
DELIVERY PROOF	NULL	NULL	2018-09-02 21:02:40	2018-09-02 22:02:13	1
DELIVERY PROOF	NULL	NULL	2018-09-02 21:02:40	2018-09-02 22:02:12	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:02:35	2018-09-02 22:02:11	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:02:36	2018-09-02 22:02:11	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:02:34	2018-09-02 22:02:10	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:02:33	2018-09-02 22:02:08	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:02:14	2018-09-02 22:02:07	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:02:22	2018-09-02 22:02:07	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:58	2018-09-02 22:02:06	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:58	2018-09-02 22:02:04	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:56	2018-09-02 22:02:03	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:52	2018-09-02 22:02:02	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:53	2018-09-02 22:02:02	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:51	2018-09-02 22:02:01	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:49	2018-09-02 22:02:00	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:46	2018-09-02 22:01:59	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:46	2018-09-02 22:01:58	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:46	2018-09-02 22:01:57	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:44	2018-09-02 22:01:56	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:39	2018-09-02 22:01:55	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:39	2018-09-02 22:01:54	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:37	2018-09-02 22:01:53	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:37	2018-09-02 22:01:52	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:36	2018-09-02 22:01:51	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:32	2018-09-02 22:01:50	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:32	2018-09-02 22:01:49	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:32	2018-09-02 22:01:48	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:29	2018-09-02 22:01:47	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:29	2018-09-02 22:01:46	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:29	2018-09-02 22:01:45	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:28	2018-09-02 22:01:44	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:27	2018-09-02 22:01:43	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:27	2018-09-02 22:01:42	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:27	2018-09-02 22:01:41	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:26	2018-09-02 22:01:40	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:24	2018-09-02 22:01:39	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:25	2018-09-02 22:01:39	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:24	2018-09-02 22:01:38	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:23	2018-09-02 22:01:37	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:23	2018-09-02 22:01:36	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:23	2018-09-02 22:01:35	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:21	2018-09-02 22:01:34	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:22	2018-09-02 22:01:34	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:20	2018-09-02 22:01:33	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:20	2018-09-02 22:01:32	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:19	2018-09-02 22:01:31	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:18	2018-09-02 22:01:30	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:17	2018-09-02 22:01:29	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:17	2018-09-02 22:01:28	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:16	2018-09-02 22:01:27	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:16	2018-09-02 22:01:26	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:14	2018-09-02 22:01:25	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:14	2018-09-02 22:01:24	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:13	2018-09-02 22:01:23	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:11	2018-09-02 22:01:22	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:08	2018-09-02 22:01:21	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:07	2018-09-02 22:01:20	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:01:06	2018-09-02 22:01:19	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:05	2018-09-02 22:01:18	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:01	2018-09-02 22:01:17	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:01:03	2018-09-02 22:01:17	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:00:57	2018-09-02 22:01:16	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:52	2018-09-02 22:01:15	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:50	2018-09-02 22:01:14	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:49	2018-09-02 22:01:13	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:48	2018-09-02 22:01:12	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:00:46	2018-09-02 22:01:11	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:00:46	2018-09-02 22:01:10	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:00:44	2018-09-02 22:01:09	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:44	2018-09-02 22:01:08	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:44	2018-09-02 22:01:07	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:00:41	2018-09-02 22:01:06	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:40	2018-09-02 22:01:05	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:00:39	2018-09-02 22:01:04	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:00:39	2018-09-02 22:01:03	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:00:34	2018-09-02 22:01:02	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:00:32	2018-09-02 22:01:01	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:00:33	2018-09-02 22:01:01	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:00:29	2018-09-02 22:01:00	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:00:28	2018-09-02 22:00:59	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:00:26	2018-09-02 22:00:58	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:26	2018-09-02 22:00:57	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:25	2018-09-02 22:00:56	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:22	2018-09-02 22:00:55	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:20	2018-09-02 22:00:54	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:16	2018-09-02 22:00:53	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:14	2018-09-02 22:00:52	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:13	2018-09-02 22:00:51	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:13	2018-09-02 22:00:50	1
PURCHASED GOODS	NULL	NULL	2018-09-02 21:00:08	2018-09-02 22:00:49	1
CKYC PHOTO	NULL	NULL	2018-09-02 21:00:10	2018-09-02 22:00:49	1
DELIVERY PROOF	NULL	NULL	2018-09-02 20:41:36	2018-09-02 22:00:48	2
DELIVERY PROOF	NULL	NULL	2018-09-02 20:33:52	2018-09-02 22:00:46	2
CKYC PHOTO	NULL	NULL	2018-09-02 20:59:53	2018-09-02 21:12:49	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:59:36	2018-09-02 21:12:48	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:59:29	2018-09-02 21:12:47	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:59:28	2018-09-02 21:12:46	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:59:26	2018-09-02 21:12:45	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:59:25	2018-09-02 21:12:44	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:59:09	2018-09-02 21:12:43	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:59:05	2018-09-02 21:12:42	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:59:03	2018-09-02 21:12:41	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:59:00	2018-09-02 21:12:40	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:58	2018-09-02 21:12:39	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:56	2018-09-02 21:12:38	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:55	2018-09-02 21:12:37	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:47	2018-09-02 21:12:36	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:42	2018-09-02 21:12:35	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:58:41	2018-09-02 21:12:34	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:58:41	2018-09-02 21:12:33	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:58:41	2018-09-02 21:12:32	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:41	2018-09-02 21:12:31	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:38	2018-09-02 21:12:30	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:41	2018-09-02 21:12:30	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:58:35	2018-09-02 21:12:29	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:58:33	2018-09-02 21:12:28	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:58:32	2018-09-02 21:12:27	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:31	2018-09-02 21:12:26	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:58:30	2018-09-02 21:12:25	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:58:28	2018-09-02 21:12:24	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:58:26	2018-09-02 21:12:23	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:26	2018-09-02 21:12:22	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:25	2018-09-02 21:12:21	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:23	2018-09-02 21:12:19	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:58:23	2018-09-02 21:12:18	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:18	2018-09-02 21:12:17	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:19	2018-09-02 21:12:17	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:17	2018-09-02 21:12:16	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:15	2018-09-02 21:12:15	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:13	2018-09-02 21:12:14	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:08	2018-09-02 21:12:13	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:58:07	2018-09-02 21:12:11	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:06	2018-09-02 21:12:10	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:58:05	2018-09-02 21:12:09	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:58:04	2018-09-02 21:12:08	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:58:03	2018-09-02 21:12:07	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:52	2018-09-02 21:12:06	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:48	2018-09-02 21:12:05	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:37	2018-09-02 21:12:04	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:26	2018-09-02 21:12:03	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:25	2018-09-02 21:12:02	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:24	2018-09-02 21:12:01	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:19	2018-09-02 21:12:00	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:18	2018-09-02 21:11:59	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:17	2018-09-02 21:11:57	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:10	2018-09-02 21:11:56	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:09	2018-09-02 21:11:55	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:08	2018-09-02 21:11:54	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:07	2018-09-02 21:11:53	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:06	2018-09-02 21:11:52	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:03	2018-09-02 21:11:51	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:03	2018-09-02 21:11:50	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:02	2018-09-02 21:11:49	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:02	2018-09-02 21:11:48	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:02	2018-09-02 21:11:47	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:57:00	2018-09-02 21:11:45	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:58	2018-09-02 21:11:44	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:57	2018-09-02 21:11:43	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:55	2018-09-02 21:11:42	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:53	2018-09-02 21:11:40	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:52	2018-09-02 21:11:39	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:50	2018-09-02 21:11:38	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:50	2018-09-02 21:11:37	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:48	2018-09-02 21:11:36	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:47	2018-09-02 21:11:35	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:45	2018-09-02 21:11:34	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:45	2018-09-02 21:11:33	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:44	2018-09-02 21:11:32	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:42	2018-09-02 21:11:31	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:42	2018-09-02 21:11:30	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:40	2018-09-02 21:11:29	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:39	2018-09-02 21:11:28	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:37	2018-09-02 21:11:27	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:36	2018-09-02 21:11:26	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:33	2018-09-02 21:11:25	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:31	2018-09-02 21:11:24	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:28	2018-09-02 21:11:23	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:28	2018-09-02 21:11:22	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:28	2018-09-02 21:11:21	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:27	2018-09-02 21:11:20	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:26	2018-09-02 21:11:19	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:23	2018-09-02 21:11:18	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:23	2018-09-02 21:11:17	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:23	2018-09-02 21:11:16	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:23	2018-09-02 21:11:15	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:23	2018-09-02 21:11:14	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:15	2018-09-02 21:11:13	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:14	2018-09-02 21:11:12	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:13	2018-09-02 21:11:11	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:13	2018-09-02 21:11:10	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:12	2018-09-02 21:11:09	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:11	2018-09-02 21:11:08	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:05	2018-09-02 21:11:07	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:02	2018-09-02 21:11:06	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:02	2018-09-02 21:11:05	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:01	2018-09-02 21:11:04	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:01	2018-09-02 21:11:03	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:56:00	2018-09-02 21:11:02	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:59	2018-09-02 21:11:01	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:58	2018-09-02 21:11:00	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:57	2018-09-02 21:10:59	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:55	2018-09-02 21:10:58	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:54	2018-09-02 21:10:57	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:53	2018-09-02 21:10:56	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:51	2018-09-02 21:10:55	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:50	2018-09-02 21:10:54	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:41	2018-09-02 21:10:53	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:49	2018-09-02 21:10:53	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:40	2018-09-02 21:10:52	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:40	2018-09-02 21:10:51	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:55:38	2018-09-02 21:10:50	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:38	2018-09-02 21:10:49	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:55:38	2018-09-02 21:10:48	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:37	2018-09-02 21:10:47	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:37	2018-09-02 21:10:47	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:36	2018-09-02 21:10:46	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:36	2018-09-02 21:10:45	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:55:36	2018-09-02 21:10:44	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:35	2018-09-02 21:10:43	1
CKYC PHOTO	NULL	NULL	2018-09-02 20:55:35	2018-09-02 21:10:42	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:34	2018-09-02 21:10:41	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:33	2018-09-02 21:10:40	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:34	2018-09-02 21:10:40	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:32	2018-09-02 21:10:39	1
PURCHASED GOODS	NULL	NULL	2018-09-02 20:55:32	2018-09-02 21:10:38	1
